question,options,answer,multiple
"Como garantir que nenhuma PII saia das instâncias EC2 ao integrar AWS X-Ray, quando traces incluem PII criptografada que vai para CloudWatch?","['Instrumentar manualmente o SDK do X-Ray no código da aplicação e controlar o que é enviado.','Usar o agente de auto-instrumentação X-Ray.','Usar Amazon Macie para detectar e mascarar PII e então enviar traces via Lambda X-Ray API.','Usar AWS Distro for OpenTelemetry e filtrar antes do envio.']","['Instrumentar manualmente o SDK do X-Ray no código da aplicação e controlar o que é enviado.']",False
"Elastic Beanstalk com Auto ScalingDesired=5 sofre degradação se capacidade ficar abaixo de 4 durante deploy; usando all-at-once. Qual a forma mais econômica de resolver o problema?","['Mudar Auto Scaling desired para 6 instâncias.','Mudar a política de implantação para rolling with additional batch e batch size 1.','Mudar a política para rolling com batch size 2.','Mudar para traffic splitting com tempo de avaliação de 1 hora.']","['Mudar a política de implantação para rolling with additional batch e batch size 1.']",False
"Aplicação web gera relatórios únicos por cliente (alguns >1 MB), disponibiliza em até 1 hora, acessíveis por 8 horas, deletar relatórios >2 dias. Qual solução com mínimo custo operacional?","['Gerar relatórios e armazenar em S3 com SSE; gerar URLs pré-assinadas com expiração; fornecer URL via app; usar Lifecycle rules no S3 para deletar relatórios antigos.','Armazenar relatórios em RDS e agendar Lambda para deletar registros expirados.','Armazenar relatórios em DynamoDB com TTL e servir via URL.','Anexar ao SNS e notificar por email; armazenar em S3.']","['Gerar relatórios e armazenar em S3 com SSE; gerar URLs pré-assinadas com expiração; fornecer URL via app; usar Lifecycle rules no S3 para deletar relatórios antigos.']",False
"E-commerce usa Lambda assíncrona por API Gateway para processar pedidos; às vezes pedidos não são processados e logs Lambda não mostram erros. O que fazer?","['Inspecionar logs frontend e reexecutar a API manualmente.','Criar e inspecionar a Dead Letter Queue (DLQ) da Lambda; solucionar funções que falharam; reprocessar eventos.','Inspecionar logs da Lambda no CloudWatch; corrigir erros.','Garantir que cache esteja desativado para o método POST no API Gateway.']","['Criar e inspecionar a Dead Letter Queue (DLQ) da Lambda; solucionar funções que falharam; reprocessar eventos.']",False
"Em um template CloudFormation, como incorporar a lista aprovada de tipos de instância EC2 para seleção durante deployment?","['No template CloudFormation, criar um parâmetro com a lista de tipos de instância EC2 como AllowedValues.','Criar um template separado para cada tipo de instância.','Na seção Resources criar recursos para cada tipo de instância.','Criar um parâmetro separado para cada tipo de instância.']","['No template CloudFormation, criar um parâmetro com a lista de tipos de instância EC2 como AllowedValues.']",False
"No AWS Amplify Hosting, qual a forma correta de adicionar testes ponta a ponta ao pipeline de build para reduzir bugs antes da produção?","['Adicionar uma fase de teste às configurações de build no arquivo amplify.yml.','Criar testes unitários e usar amplify push para implantá-los.','Adicionar uma fase de teste ao aws-exports.js.','Executar amplify add test na CLI.']","['Adicionar uma fase de teste às configurações de build no arquivo amplify.yml.']",False
"Em pipeline CI/CD com ECR, EKS e CodePipeline, onde executar a verificação de imagem (scan) o mais cedo possível com maior eficiência operacional?","['Criar um novo stage do CodePipeline que ocorra após a construção da imagem (após build) e configurar ECR image scan on push; usar Lambda para validar resultados e falhar o pipeline.','Adicionar uma ação na etapa de deploy antes da implantação no EKS que rode o scan e valide via Lambda.','Executar scanner de segurança no código-fonte no stage inicial.','Executar docker scan local com pre-commit hook.']","['Criar um novo stage do CodePipeline que ocorra após a construção da imagem (após build) e configurar ECR image scan on push; usar Lambda para validar resultados e falhar o pipeline.']",False
"Kinesis stream -> Lambda apresenta iterator age e duração alta. Quais ações aumentam o throughput e processamento? (Escolha dois)","['Aumente o número de shards do fluxo Kinesis.','Diminua o timeout da função Lambda.','Diminua o número de shards do fluxo Kinesis.','Aumente a memória alocada à função Lambda.','Aumente o timeout da função Lambda.']","['Aumente o número de shards do fluxo Kinesis.','Aumente a memória alocada à função Lambda.']",True
"Jogo usa DynamoDB com partition key = country; pico em um país causa ProvisionedThroughputExceededException. O que deve ser feito?","['Revisar a chave primária para usar mais identificadores únicos (evitar hotspot por country).','Usar leitura fortemente consistente.','Usar operação Scan para contornar problema.','Usar paginação para reduzir tamanho de itens retornados.']","['Revisar a chave primária para usar mais identificadores únicos (evitar hotspot por country).']",False
"Como habilitar CloudWatch Logs Insights para funções Lambda em um template AWS SAM que inclui um recurso CloudWatchLogGroup?","['Para cada função Lambda, adicionar a Lambda Insights extension layer e anexar a política gerenciada AWSCloudWatchLambdaInsightsExecutionRolePolicy.','Adicionar um parâmetro CloudWatchLogGroupNamePrefix e referenciar no recurso CloudWatchLogGroup.','Adicionar uma saída CloudWatchinsightRule com o ARN do CloudWatchLogGroup.','Definir tracing mode como Active para cada Lambda e anexar AWSCloudWatchLambdaInsightsExecutionRolePolicy.']","['Para cada função Lambda, adicionar a Lambda Insights extension layer e anexar a política gerenciada AWSCloudWatchLambdaInsightsExecutionRolePolicy.']",False
"Aplicação na Conta A precisa decodificar um segredo do Secrets Manager da Conta B que é protegido por uma KMS key da Conta B. Quais ações mínimas (least privilege) devem ser concedidas na key policy KMS da Conta B ao role da Conta A?","['kms:Decrypt e kms:DescribeKey','kms:*','secretsmanager:*','secretsmanager:DescribeSecret e secretsmanager:GetSecretValue']","['kms:Decrypt e kms:DescribeKey']",False
"Qual estratégia de implantação permite testar um novo recurso com um pequeno grupo de usuários enquanto a versão atual permanece implantada e, se validado, implantar a nova versão para todos ao mesmo tempo?","['Canary deployment','All at once deployment','In-place deployment','Linear deployment']","['Canary deployment']",False
"Bucket S3 versionado precisa manter apenas a versão atual e a versão imediatamente anterior de cada objeto. Qual solução atende o requisito?","['Configurar uma regra de lifecycle do S3 para manter a versão mais recente e a imediatamente anterior.','Ativar S3 Object Lock e configurar uma política de retenção para manter duas versões.','Configurar uma bucket policy para manter duas versões.','Suspender versioning e controlar versões na aplicação.']","['Configurar uma regra de lifecycle do S3 para manter a versão mais recente e a imediatamente anterior.']",False
"Como recuperar pedidos com accountId = 100 de uma tabela DynamoDB que tem um GSI accountIndex (partition key accountId, sort key orderDateTime) usando a menor capacidade de leitura?","['Query no GSI accountIndex com KeyConditionExpression accountId = 100','BatchGetItem','GetItem','Scan']","['Query no GSI accountIndex com KeyConditionExpression accountId = 100']",False
"Aplicação sensível usa CloudFront e várias Lambdas; as solicitações contêm >20 campos e apenas partes da aplicação devem descriptografar dados sensíveis. Qual solução atende?","['Usar CloudFront Field-Level Encryption com uma chave assimétrica AWS KMS e encaminhar cabeçalhos necessários para a origem.','Associar CloudFront a Lambda@Edge e realizar criptografia campo-a-campo com RSA user-managed key armazenada no KMS.','Integrar AWS WAF e usar Lambda com chaves autogerenciadas.','Exigir HTTPS e uso de URLs/cookies assinados.']","['Usar CloudFront Field-Level Encryption com uma chave assimétrica AWS KMS e encaminhar cabeçalhos necessários para a origem.']",False
"Como armazenar credenciais de BD de forma segura para múltiplas Lambdas e permitir rotação sem necessidade de alteração de código/config?","['Armazenar o segredo no AWS Secrets Manager e acessar o segredo em tempo de execução a partir das Lambdas.','Armazenar o segredo no Systems Manager Parameter Store SecureString e referenciar via variável de ambiente.','Armazenar no Parameter Store e usar um trigger que passe as credenciais às Lambdas em execução.','Armazenar no Secrets Manager e usar containerDefinitions/valueFrom para inserir nas variáveis de ambiente.']","['Armazenar o segredo no AWS Secrets Manager e acessar o segredo em tempo de execução a partir das Lambdas.']",False
"Que tipo de criptografia atende requisito: novo app permite upload de documentos para S3 e o conteúdo não deve ser acessível a terceiros?","['Server-side encryption com AWS KMS (SSE-KMS)','Server-side encryption com S3 managed keys (SSE-S3)','Client-side encryption com S3 Encryption Client e RSA wrapping key local','Double-layer server-side encryption DSSE-KMS']","['Server-side encryption com AWS KMS (SSE-KMS)']",False
"Arquitetura orientada a eventos: uma Lambda produtora precisa rotear dados processados para um subconjunto de quatro Lambdas consumidoras com base em campo; qual solução com mínimo custo operacional?","['Criar um único tópico SNS; assinar as quatro Lambdas e usar subscription filter policies para roteamento; publicar no tópico único.','Criar um tópico SNS separado para cada consumidor e a função produtora decide onde publicar.','Criar SQS por consumidor e roteamento na lambda produtora.','Criar um tópico SNS e aplicar lógica de filtragem nas Lambdas consumidoras.']","['Criar um único tópico SNS; assinar as quatro Lambdas e usar subscription filter policies para roteamento; publicar no tópico único.']",False
"Qual solução é mais simples para o mecanismo de autenticação de um app móvel (cadastro, login e acesso a recursos AWS backend)?","['Criar um Amazon Cognito User Pool, configurar requisitos de segurança (senha, MFA), criar um App Client e integrar ao aplicativo móvel.','Criar um Cognito Identity Pool e associar IdP e roles para authenticated/unauthenticated.','Criar IAM policies e roles e integrar diretamente com um IdP do app.','Criar IAM policy e anexar a um endpoint do API Gateway.']","['Criar um Amazon Cognito User Pool, configurar requisitos de segurança (senha, MFA), criar um App Client e integrar ao aplicativo móvel.']",False
"Empresa de vigilância armazena vídeos (~1 GB) em S3; Lambda por arquivo precisa ler várias vezes (I/O intensivo). Qual solução mais otimizada para desempenho?","['Aumentar o armazenamento efêmero (/tmp) da Lambda para 2 GB e copiar os arquivos do S3 para /tmp.','Anexar EBS à Lambda.','Ler diretamente do S3 no código da Lambda.','Conectar ENA à Lambda para leitura do S3.']","['Aumentar o armazenamento efêmero (/tmp) da Lambda para 2 GB e copiar os arquivos do S3 para /tmp.']",False
"Para analisar taxa e latência de tópicos SNS FIFO com maior eficiência operacional, qual métrica/serviço usar?","['Usar a métrica Amazon CloudWatch NumberOfNotificationsFailed (NumberOfNotificationsFail) e CloudWatch para monitoramento.','Usar GuardDuty com runtime monitoring.','Registrar todas chamadas de API SNS no CloudTrail.','Usar AWS X-Ray com tracing para SNS.']","['Usar a métrica Amazon CloudWatch NumberOfNotificationsFailed (NumberOfNotificationsFail) e CloudWatch para monitoramento.']",False
"CodeDeploy em EC2 falha durante testes com erro IAM_ROLE_PERMISSIONS nos logs CloudWatch. O que o desenvolvedor deve fazer?","['Anexar a policy gerenciada AWSCodeDeployRole à service role do CodeDeploy e garantir o nome correto da role no deployment group.','Anexar AWSCodeDeployRoleECS policy à service role do CodeDeploy.','Garantir que o agente CodeDeploy esteja instalado e rodando em todas as instâncias.','Usar um role diferente.']","['Anexar a policy gerenciada AWSCodeDeployRole à service role do CodeDeploy e garantir o nome correto da role no deployment group.']",False
"E-commerce migrado para AWS: servidor web gerenciava sessão em memória causando uso de memória alto; migrando para EC2+ASG+ALB, que mudança aplicar para melhorar desempenho?","['Usar Amazon ElastiCache for Memcached para armazenar e gerenciar dados de sessão; usar Amazon RDS for MySQL para dados da aplicação.','Usar instance store para sessões e RDS para app data.','Armazenar sessões no MySQL hospedado em EC2.','Usar ElastiCache para Memcached para sessões e dados da app.']","['Usar Amazon ElastiCache for Memcached para armazenar e gerenciar dados de sessão; usar Amazon RDS for MySQL para dados da aplicação.']",False
"Lambda invocada por API Gateway via alias: desenvolvedor quer testar nova versão com outros devs sem impactar clientes. Qual solução com mínimo custo operacional?","['Atualizar o alias Lambda usado pelo API Gateway para um alias ponderado (weighted alias) e adicionar a nova versão com peso de 10% no estágio existente.','Criar nova versão e nova API Gateway para testes.','Criar uma Lambda de filtragem que roteia para nova/antiga versão.','Criar nova versão e novo stage no API Gateway integrado à nova versão.']","['Atualizar o alias Lambda usado pelo API Gateway para um alias ponderado (weighted alias) e adicionar a nova versão com peso de 10% no estágio existente.']",False
"Qual chamada de API do DynamoDB permite recuperar múltiplos itens específicos em uma única requisição com impacto mínimo no banco?","['BatchGetItem','GetItem','Query','Scan']","['BatchGetItem']",False
"API Gateway REST como webhook publica eventos no EventBridge conta central; é preciso entregar os mesmos eventos para múltiplas contas receptoras sem alterar o SCM. Como atender?","['Conceder permissão à conta central EventBridge para publicar nos event buses das contas receptoras e adicionar esses event buses como alvos da regra existente.','Implantar API Gateway em todas as contas com o mesmo domínio.','Implantar múltiplos webhooks no SCM.','Converter REST API para HTTP API.']","['Conceder permissão à conta central EventBridge para publicar nos event buses das contas receptoras e adicionar esses event buses como alvos da regra existente.']",False
"Aplicação tem apenas ambiente de produção; desenvolvedor precisa criar ambiente de desenvolvimento para testar um hotfix e impedir sobrescrita por outros devs. Quais duas etapas atenderão com mínimo esforço? (Escolha dois)","['Modificar a função Lambda, testar, publicar nova versão e criar um alias hotfix apontando para a nova versão.','Atualizar a integração do API Gateway para usar o alias hotfix e implantar um novo stage chamado hotfix.','Modificar a função e apontar o alias hotfix para $LATEST.','Criar nova API Gateway para dev com alias hotfix e novo stage.','Criar recurso no stage atual e usar alias hotfix.']","['Modificar a função Lambda, testar, publicar nova versão e criar um alias hotfix apontando para a nova versão.','Atualizar a integração do API Gateway para usar o alias hotfix e implantar um novo stage chamado hotfix.']",True
"Aplicação de saúde grava dados temporários em /tmp na Lambda; como criptografar esses dados corretamente?","['Configurar a função Lambda para usar AWS KMS: obter uma data key (GenerateDataKey) e usar a data key para criptografar os dados antes de gravar em /tmp.','Usar OpenSSL para gerar chave simétrica na inicialização da Lambda e criptografar os dados.','Ativar criptografia de volume EBS para a Lambda.','Usar HSM local para gerar chaves.']","['Configurar a função Lambda para usar AWS KMS: obter uma data key (GenerateDataKey) e usar a data key para criptografar os dados antes de gravar em /tmp.']",False
"Como habilitar AWS X-Ray tracing em servidores on-premises com a menor quantidade de configuração?","['Instalar e executar o X-Ray daemon nos servidores on-premises para capturar e retransmitir dados para o serviço X-Ray.','Instalar e executar o X-Ray SDK nos servidores locais.','Usar uma Lambda para chamar PutTraceSegments com dados on-prem.','Usar uma Lambda para PutTelemetryRecords.']","['Instalar e executar o X-Ray daemon nos servidores on-premises para capturar e retransmitir dados para o serviço X-Ray.']",False
"Lambda em VPC lê SQS via VPC endpoint e calcula média móvel; o resultado não é preciso. Como garantir média móvel precisa?","['Definir reserved concurrency da função para 1 e armazenar a média móvel calculada no Amazon ElastiCache.','Armazenar valores nas Lambda layers e usar no init.','Definir provisioned concurrency =1 e armazenar média em ElastiCache.','Armazenar valores no ElastiCache e, ao inicializar função, usar valores anteriores do cache para calcular a média.']","['Definir reserved concurrency da função para 1 e armazenar a média móvel calculada no Amazon ElastiCache.']",False
"Empresa instala medidores inteligentes que enviam leituras por minuto; precisa endpoint que armazene locationId e timestamp e ofereça acesso de baixa latência e escale sem downtime com custo econômico. Qual solução?","['Armazenar leituras em DynamoDB com chave composta (partition key = locationId, sort key = timestamp).','Armazenar leituras em Amazon RDS com índices por locationId e timestamp.','Armazenar leituras em S3 particionado por locationId/timestamp e consultar com Athena.','Armazenar em ElastiCache (Redis) com SortedSet por locationId/timestamp.']","['Armazenar leituras em DynamoDB com chave composta (partition key = locationId, sort key = timestamp).']",False
"Como medir a latência entre uma função Lambda e um bucket S3 quando uma Lambda grava lentamente?","['Ativar AWS X-Ray na função Lambda e usar o mapa de traces (selecionar a linha entre Lambda e S3).','Ativar CloudWatch Lambda Insights e ver o gráfico de latência.','Usar CloudWatch Logs Insights para calcular média de @duration nos logs.','Ativar X-Ray e selecionar S3 no gráfico de latência para histograma.']","['Ativar AWS X-Ray na função Lambda e usar o mapa de traces (selecionar a linha entre Lambda e S3).']",False
"Onde o desenvolvedor encontrará os logs do código da Lambda que extrai metadados de objetos S3 e grava no DynamoDB?","['Amazon CloudWatch','AWS CloudTrail','Amazon DynamoDB','Amazon S3']","['Amazon CloudWatch']",False
"Qual é a forma mais rápida, com mínimo esforço, de gerar payloads de eventos reais para testes locais com AWS SAM?","['Usar o comando sam local generate-event para criar payloads de teste correspondentes aos eventos reais.','Criar eventos Lambda de teste compartilháveis no console e usá-los localmente.','Armazenar payloads em S3 e usar sam local invoke com caminho S3.','Armazenar payloads localmente e usar sam local invoke com caminho de arquivo.']","['Usar o comando sam local generate-event para criar payloads de teste correspondentes aos eventos reais.']",False
"Como ocultar PII dos relatórios em um bucket S3 antes que um serviço de análise (que faz GET padrão) acesse os objetos, com maior eficiência operacional?","['Configurar S3 Object Lambda Access Point com uma função Lambda que faz redação de PII (object transformation) antes da entrega.','Carregar objetos em Redshift e aplicar dynamic data masking.','Criptografar objetos com KMS e conceder decrypt ao serviço de análise.','Criar um tópico SNS e colocar proteção de dados de mensagens.']","['Configurar S3 Object Lambda Access Point com uma função Lambda que faz redação de PII (object transformation) antes da entrega.']",False
"Lambda em modo VPC processa S3 e produz arquivo de resultados e um arquivo de log compartilhado a que várias Lambdas e recursos on-prem devem ter acesso, e cada entrada de log deve ser anexada ao mesmo arquivo. Qual solução usar?","['Criar um Amazon EFS e montar o sistema de arquivos nas Lambdas; armazenar resultados e arquivo de log no ponto de montagem e anexar entradas de log ao arquivo compartilhado.','Usar /tmp local e compartilhar via download/UPLOAD em EFS.','Criar EBS Multi-Attach e anexar a todas as Lambdas.','Usar /opt para armazenamento compartilhado.']","['Criar um Amazon EFS e montar o sistema de arquivos nas Lambdas; armazenar resultados e arquivo de log no ponto de montagem e anexar entradas de log ao arquivo compartilhado.']",False
"Pipeline: S3 -> Lambda (transform) -> DynamoDB enfrenta throttling no DynamoDB durante picos. Qual solução elimina a limitação e torna ingestão mais consistente?","['Refatorar em duas Lambdas e colocar SQS entre elas: Lambda de transformação envia mensagens à fila; uma segunda Lambda consome a fila e grava no DynamoDB.','Ativar auto-scaling na tabela DynamoDB.','Refatorar em duas Lambdas onde a primeira grava no DynamoDB e a segunda processa via DynamoDB Streams.','Configurar provisioned concurrency para a Lambda.']","['Refatorar em duas Lambdas e colocar SQS entre elas: Lambda de transformação envia mensagens à fila; uma segunda Lambda consome a fila e grava no DynamoDB.']",False
"Serviço que usa S3 para upload de imagens: quando uma imagem é enviada, é necessário criar miniatura e enviar notificação por e-mail. Qual solução atenderá?","['Configurar S3 Event Notification para enviar eventos a um SNS topic; inscrever a Lambda no tópico SNS para criar a miniatura; criar uma assinatura de email diretamente no SNS.','Configurar S3 Event Notification para enviar eventos a uma fila SQS; inscrever a Lambda na fila SQS; criar assinatura de email na SQS (não suportado).','Configurar S3 Event Notification para publicar no SNS; inscrever SQS no SNS; inscrever Lambda na fila SQS; criar assinatura de email na fila SQS.','Usar EventBridge para rotear para Lambda e SQS.']","['Configurar S3 Event Notification para enviar eventos a um SNS topic; inscrever a Lambda no tópico SNS para criar a miniatura; criar uma assinatura de email diretamente no SNS.']",False
"Com conexão AWS VPN baseada em BGP, consegue-se acessar EC2 em subnet A mas não em subnet B na mesma VPC. Quais logs usar para verificar se o tráfego está chegando à subnet B?","['VPC Flow Logs','VPN logs','BGP logs','AWS CloudTrail logs']","['VPC Flow Logs']",False
"Qual política deve ser modificada para permitir que instâncias EC2 escrevam objetos em um bucket S3?","['A IAM policy anexada ao instance profile role da instância EC2','A session policy aplicada à sessão de role da instância EC2','A VPC endpoint policy','A KMS key policy vinculada ao instance profile role']","['A IAM policy anexada ao instance profile role da instância EC2']",False
